City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
183,Mirnyy,RU,2021-12-27 23:42:51,62.5353,113.9611,-6.77,76,100,8.99
184,Sisimiut,GL,2021-12-27 23:42:52,66.9395,-53.6735,13.8,73,57,5.7
185,Alvdal,NO,2021-12-27 23:43:52,62.1077,10.6307,-4.16,98,100,6.55
186,Kununurra,AU,2021-12-27 23:43:53,-15.7667,128.7333,82.38,61,86,3.44
187,Itoman,JP,2021-12-27 23:43:53,26.1247,127.6694,59.02,80,20,8.05
188,Nome,US,2021-12-27 23:43:54,64.5011,-165.4064,19.47,68,90,11.5
189,Camacha,PT,2021-12-27 23:43:54,33.0833,-16.3333,63.82,68,40,4.61
190,Wexford,IE,2021-12-27 23:43:54,52.3342,-6.4575,48.58,96,90,8.79
191,Hilo,US,2021-12-27 23:46:11,19.7297,-155.09,76.12,29,100,6.93
192,Morogoro,TZ,2021-12-27 23:50:36,-6.8167,37.6667,69.93,97,86,1.07
193,Isangel,VU,2021-12-27 23:50:36,-19.55,169.2667,87.91,74,40,5.75
194,Siyabuswa,ZA,2021-12-27 23:50:37,-25.1132,29.0445,63.99,95,98,4.14
195,Cookeville,US,2021-12-27 23:47:25,36.1628,-85.5016,64.53,97,90,3.0
196,Half Moon Bay,US,2021-12-27 23:46:56,37.4636,-122.4286,50.83,74,75,5.01
197,Ankang,CN,2021-12-27 23:50:39,32.68,109.0172,38.66,58,39,0.94
198,Svetlaya,RU,2021-12-27 23:50:39,46.5389,138.3297,-2.25,73,20,9.8
199,Vila Franca Do Campo,PT,2021-12-27 23:50:40,37.7167,-25.4333,67.19,94,79,24.27
200,Coos Bay,US,2021-12-27 23:50:40,43.3665,-124.2179,37.38,94,75,9.22
201,Sao Joao Da Barra,BR,2021-12-27 23:50:41,-21.6403,-41.0511,75.47,91,6,6.55
202,Kavaratti,IN,2021-12-27 23:50:42,10.5669,72.642,79.81,71,18,7.52
203,Saint-Francois,FR,2021-12-27 23:50:42,46.4154,3.9054,48.67,86,90,13.8
204,Ngunguru,NZ,2021-12-27 23:50:43,-35.6167,174.5,66.24,96,100,7.2
205,Grants,US,2021-12-27 23:50:43,35.1473,-107.8514,41.23,28,75,13.8
206,Lulea,SE,2021-12-27 23:50:44,65.5842,22.1547,-5.73,84,83,1.14
207,Luzhou,CN,2021-12-27 23:50:44,28.8724,105.4405,41.05,84,100,1.48
208,Noumea,NC,2021-12-27 23:50:45,-22.2763,166.4572,85.98,99,99,7.36
209,Port Lincoln,AU,2021-12-27 23:50:45,-34.7333,135.8667,63.9,64,8,19.86
210,Hays,US,2021-12-27 23:50:46,30.0502,-98.0336,76.59,75,15,1.01
211,Westport,US,2021-12-27 23:50:47,41.1415,-73.3579,37.45,71,90,1.01
212,Asosa,ET,2021-12-27 23:50:47,10.0667,34.5333,65.97,49,64,3.62
213,Aykhal,RU,2021-12-27 23:50:48,66.0,111.5,-19.59,98,100,8.03
214,Ketchikan,US,2021-12-27 23:50:48,55.3422,-131.6461,22.98,93,90,0.0
215,Georgetown,MY,2021-12-27 23:50:48,5.4112,100.3354,78.73,85,20,1.99
216,Ponta Delgada,PT,2021-12-27 23:46:30,37.7333,-25.6667,68.5,94,75,23.02
217,Ilulissat,GL,2021-12-27 23:50:49,69.2167,-51.1,-1.68,75,32,4.59
218,Tolaga Bay,NZ,2021-12-27 23:50:49,-38.3667,178.3,68.9,77,100,8.99
219,Airai,TL,2021-12-27 23:50:50,-8.9266,125.4092,64.58,83,100,4.0
220,Katsuura,JP,2021-12-27 23:50:51,35.1333,140.3,47.1,48,2,12.97
221,Kollam,IN,2021-12-27 23:50:51,8.8833,76.6,75.07,83,58,9.37
222,Khatanga,RU,2021-12-27 23:50:51,71.9667,102.5,-31.23,100,62,4.72
